"custkey","first_name","last_name","street","city","state","postcode","country","phone","dob","gender","married","ssn","paycheck_dd","estimated_income","fico","registration_date"
"9999999","Bugs","Bunny","123 Stree","Candyland","VT","17522","US","999-999-9999","01-01-2001","M","N","123-45-6789","N","51299.55","111","1966-09-08"
"1000001","Jessica","Wilkins","6482 Lopez Run","Huynhburgh","NC","39644","US","+1-241-619-2638x950","1952-03-23","M","N","123-64-3546","N","51299.55","490","1966-09-08"
"1000002","Ryan","Moon","85265 Bruce Lock","East Tonyafort","DC","17523","US","(224)281-8020","1988-02-14","M","N","190-78-1571","N","168586.71","570","2000-05-11"
"1000003","Richard","Tyler","62298 Choi Mission","East Natalie","VT","60907","US","605.889.1125","1925-06-01","M","N","282-96-7276","Y","253388.29","677","1986-04-17"
"1000004","Shane","Baker","3672 Jason Greens","Connieside","YT","L6G3A1","CA","349-852-4011","1992-05-31","F","Y","213-71-8261","N","372036.69","719","2002-12-03"
"1000005","Kimberly","Hernandez","9057 Luis Junctions Apt. 699","North Paul","NT","N7T8C1","CA","001-389-832-7031x1811","1956-09-15","U","U","581-31-3500","N","135704.21","584","1962-04-10"
"1000006","Mitchell","Barker","8088 Richardson Keys Suite 671","East Shannon","OK","87423","US","+1-753-406-5384x3134","1996-10-13","M","N","006-03-2480","N","100559.42","436","1976-04-20"
"1000007","David","Lynch","726 Corey Turnpike Apt. 566","Shawmouth","ON","H7E 8K9","CA","729.594.8277x07536","1984-10-26","F","Y","231-79-8327","N","250508.69","648","1998-07-06"
"1000008","Margaret","Larson","8949 Collins Harbor","North Donnatown","NB","H1B2E7","CA","2669602288","1940-03-30","F","Y","504-14-5840","N","61472","376","1952-10-31"
"1000009","Charles","Jefferson","07242 Moore Rue Apt. 440","East Thomasmouth","NT","J9Y 6H7","CA","(321)624-3156x89435","1973-10-03","F","Y","318-01-4779","N","351944.26","743","1992-12-22"
"1000010","Todd","Garcia","983 Gregory Avenue","North Gregville","NC","62701","US","116.275.7286","1954-06-07","M","N","421-19-7088","N","316279.09","665","1962-04-06"
"1000011","Stacie","Murray","723 Patterson Curve Apt. 313","Anthonyshire","ON","R2X 5X2","CA","+1-797-056-5568x8745","1978-04-24","F","Y","082-23-4074","N","313224.53","800","1997-03-14"
"1000012","Kathryn","Nichols","485 Morgan Course","West Krista","SC","44866","US","703-025-9030x468","1945-02-19","M","N","206-89-5430","Y","205898.82","625","1978-01-22"
"1000013","Lisa","Bauer","72072 Zachary Village Suite 501","Smithberg","LA","61699","US","001-425-389-7044x75058","1996-12-18","M","N","027-96-5993","N","152845.84","548","1934-08-16"
"1000014","Jennifer","Jackson","580 Peters Fall Suite 226","Christopherborough","PE","J1H 9L2","CA","289-809-5470x56471","1955-05-25","F","Y","346-97-3532","N","62000.77","307","1932-11-04"
"1000015","Jennifer","Taylor","9156 Hobbs Court Suite 611","Richardport","ME","24725","US","105.571.4034x50450","1980-12-19","M","N","433-93-8415","Y","395107.91","795","1933-03-26"
"1000016","Darius","Jones","6195 Shari Mountains Suite 985","Zamoramouth","OR","74577","US","+1-138-460-6864x1011","1932-01-28","M","N","239-97-2475","N","29827.18","301","1965-04-08"
"1000017","Deanna","Wolf","67947 Michelle Squares","South Lori","NT","B2A8J4","CA","(564)259-2325x15336","2000-03-01","F","Y","147-46-0954","N","374988.53","753","2017-12-21"
"1000018","Michael","Fletcher","49384 Lindsay Mountains Suite 215","Tylerchester","MI","68385","US","472-216-8656x60049","1958-10-12","M","N","258-02-3030","N","275949.69","722","1991-02-19"
"1000019","Erik","Chaney","3849 Courtney Gateway","Landrymouth","WI","06133","US","1443690459","1943-12-29","M","N","739-28-4989","N","396624.45","780","1951-04-24"
"1000020","William","Peters","176 Clark Drive Apt. 257","New Kristenmouth","NU","E1M1A9","CA","030-186-6209x098","1988-01-28","F","Y","672-03-7227","N","251651.48","621","2016-08-22"
"1000021","Sarah","Avila","894 Michael Curve Apt. 217","Lake Lori","NS","R5A 7V1","CA","064.092.9919","1997-04-09","F","Y","654-50-8576","N","245605.7","640","1941-10-26"
"1000022","Kevin","Lewis","039 Edward Fall Apt. 389","Hernandezville","NL","R8Y 1G9","CA","(573)712-5233","1977-10-13","U","U","045-37-0752","N","105005.6","439","1982-08-13"
"1000023","Richard","Crawford","01521 Stewart Junction","Lake Haley","NU","P8V 9K5","CA","927-642-2695x741","1955-11-27","F","Y","513-32-5547","N","39985.45","351","1933-01-11"
"1000024","Shannon","Harris","254 Cobb Trafficway","Jonesberg","PE","R8M 2K6","CA","781-047-0801x765","1951-10-30","F","Y","405-32-6817","N","157739.17","579","2012-01-09"
"1000025","Michelle","Mendoza","82147 Victor Ports Suite 980","Lake Debra","NU","X2B1R6","CA","(999)371-5710x0695","1962-01-16","F","Y","565-80-0718","N","298590.34","606","1948-12-08"
